id	case ID	aliquot_submitter_id_0	aliquot_submitter_xid_1	file_name	file_size	file_state	submitter_id
f3183384-98bb-4a4c-a0f4-6cf6e026e88b	C3L-01839	CPT0092060009	CPT0093730002	b047050d-b151-4cdf-b339-72642f1e7743.wxs.MuTect2.somatic_annotation.vcf.gz	3496992	validated	f874b424-bdc5-4bcd-ac10-bb03a8d7ac15
f448e583-15dc-41bd-8900-f2eed596ff6f	C3N-02185	CPT0168590006	CPT0168650002	ccb95b98-fb0d-476c-bc1a-e0ffcc995e7d.wxs.VarScan2.somatic_annotation.vcf.gz	382042	validated	65ce7469-26d3-4811-b0e5-a818f396940b
dd5359f7-ff6e-4ca6-b883-9635006a7f85	C3N-01364	CPT0093450009	CPT0093490002	7a6ad782-f84a-4fbd-826b-7f755a23b92c.wxs.MuTect2.somatic_annotation.vcf.gz	9528314	validated	358e8756-ded4-4264-8af6-b847f28f86ee
e47fb9cd-9c8e-48dd-a600-ed9461c652da	C3L-01046	CPT0128570002	CPT0127480007	40bd4fd0-ad1b-4376-bb4a-bfc5ab9ab046.wxs.VarScan2.somatic_annotation.vcf.gz	277576	validated	0b2a5f80-27d9-4722-be87-98e16adc15cb
d89928d4-94b5-4d14-97b9-eb96d88a8c18	C3L-00104	CPT0092440009	CPT0093800002	a361f97f-3f6e-488b-a124-f45d8fc68936.wxs.MuSE.somatic_annotation.vcf.gz	235629	validated	c8be8b94-1c1c-40a0-86dc-184681ebd11a
c9d79990-b722-4a8b-86e6-a4b29fb4aacf	C3N-02188	CPT0168830006	CPT0168870002	ab5b5e3e-8f29-4090-aeef-b277844b8321.wxs.MuTect2.somatic_annotation.vcf.gz	2438136	validated	b7002bbf-ee3c-45fa-bb0f-cb736b871eb1
ca38fab0-8cbd-41f5-a506-4eea19604074	C3L-00104	CPT0092440009	CPT0093800002	bb25999c-cf8b-4c63-bb64-d0adad2550bf.wxs.SomaticSniper.somatic_annotation.vcf.gz	1632957	validated	1ee477f8-53b6-49b7-8e4e-360ac0b0bb85
cf53c22c-b7c0-4292-8759-2d43b90efae5	C3L-01839	CPT0092060009	CPT0093730002	ed27c0cb-aab6-4934-8954-f412d31f9c4b.wxs.VarScan2.somatic_annotation.vcf.gz	494773	validated	6fb4b8c7-d23a-42c2-a547-da8f6bcf415e
c23181ee-331d-4330-8bb6-faa6380de290	C3N-01192	CPT0087950009	CPT0087980002	20cdf1ca-93e8-4b8b-9523-76f454721153.wxs.SomaticSniper.somatic_annotation.vcf.gz	2935489	validated	d761cada-9086-42db-8d5e-85c1b699423f
bf0d5bd1-7ffb-49a1-8132-481f544b7dfe	C3N-01369	CPT0162020006	CPT0162040002	53f60c77-faf7-47e8-adee-774ff44caf7f.wxs.MuTect2.somatic_annotation.vcf.gz	3004640	validated	aec82512-0a86-4fe9-a82e-c2e572a5bd82
